species_common_name,species_code,scientific_name
Slaty-legged Crake,sllcra1,Rallina eurizonoides
Slaty Robin,bugrob1,Peneothello cyanus
Slaty Slender Mouse Opossum,MARINV,Marmosops invictus
Slaty Spinetail,SLSP,Synallaxis brachyura
Slaty-tailed Trogon,STTR,Trogon massena
Slaty Vireo,SLVI,Vireo brevipennis
Slaty-winged Foliage-gleaner,SWFG,Philydor fuscipenne
Slender Antbird,sleant1,Rhopornis ardesiacus
Slender-billed Curlew,SBCU,Numenius tenuirostris
Slender-billed Grackle,SBGR,Quiscalus palustris
Slender-billed Greenbul,slbgre1,Stelgidillas gracilirostris
Slender-billed Gull,slbgul1,Chroicocephalus genei
Slender-billed Inezia,slbtyr1,Inezia tenuirostris
Slender-billed Kite,SBKI,Helicolestes hamatus
Slender-billed Miner,slbmin1,Geositta tenuirostris
Slender-billed Oriole,ORITEN,Oriolus tenuirostris
Slender-billed Parakeet,slbpar1,Enicognathus leptorhynchus
Slender-billed Scimitar Babbler,sbsbab1,Pomatorhinus superciliaris
Slender-billed Starling,slbsta1,Onychognathus tenuirostris
Slender-billed Xenops,slbxen1,Xenops tenuirostris
Slender-footed Tyrannulet,slftyr1,Zimmerius gracilipes
Slender Harvest Mouse,REIGRA,Reithrodontomys gracilis
Slender-horned Gazelle,GAZLEP,Gazella leptoceros
Slender Meadow Katydid,CONFAS,Conocephalus fasciatus
Slender Sheartail,SLSH,Doricha enicura
Slender Shrew,3879,Sorex gracillimus
Slender-tailed Deer Mouse,HABLEP,Habromys lepturus
Slender-tailed Nightjar,sltnig1,Caprimulgus clarus
Slim-faced Slender Mouse Opossum,MARCRA,Marmosops cracens
Small big-eared bat,HISMON,Histiotus montanus
Small-billed Elaenia,smbela1,Elaenia parvirostris
Small-billed Tinamou,CPAR,Crypturellus parvirostris
Small Fat-tailed Opossum,THYPUS,Thylamys pusillus
Small-headed Elaenia,higela3,Elaenia sordida
Small Minivet,smamin1,Pericrocotus cinnamomeus
Small Niltava,smanil1,Niltava macgrigoriae
Small Pratincole,smapra1,Glareola lactea
Small Red Brocket,MAZBOR,Mazama bororo
Small-toothed Harvest Mouse,REIMIC,Reithrodontomys microdon
Smew,SMEW,Mergellus albellus
Smith's Longspur,SMLO,Calcarius pictus
Smith's Red-backed Vole,MYOSMI,Craseomys smithii
Smith's Red Rock Hare,PRORUP,Pronolagus rupestris
Smoke-colored Pewee,smcpew1,Contopus fumigatus
Smoky-brown Woodpecker,SMBW,Picoides fumigatus
Smoky Bush Tyrant,smbtyr2,Myiotheretes fumigatus
Smoky-fronted Tody-Flycatcher,smftof1,Poecilotriccus fumifrons
Smoky Pocket Gopher,CRAFUM,Cratogeomys fumosus
Smoky Shrew,SORFUM,Sorex fumeus
Smoky Warbler,smowar1,Phylloscopus fuligiventer
Smooth-billed Ani,SBAN,Crotophaga ani
Smooth Greensnake,OPHVER,Opheodrys vernalis
Snail and slugs,194,
Snail Kite,SNKI,Rostrhamus sociabilis
"Snakes, Lizards & Amphibians",161,
Snapping Turtle,SNTU,Chelydra serpentina
Snethlage's Antpitta,spoant5,Hylopezus paraensis
Snethlage's Tody-Tyrant,snttyr1,Hemitriccus minor
Snow Bunting,SNBU,Plectrophenax nivalis
Snowcap,SNOC,Microchera albocoronata
Snow-capped Manakin,sncman1,Lepidothrix nattereri
Snow Goose,SNGO,Anser caerulescens
Snow Leopard,PANUNC,Panthera uncia
Snow Sheep,OVINIV,Ovis nivicola
Snowshoe Hare,HARE,Lepus americanus
Snowy Albatross,DIODIO,Diomedea exulans
Snowy-bellied Hummingbird,SBEH,Amazilia edward
Snowy-browed Flycatcher,snbfly1,Ficedula hyperythra
Snowy Cotinga,SNCO,Carpodectes nitidus
Snowy-crowned Robin-Chat,scrcha1,Cossypha niveicapilla
Snowy-crowned Tern,STETRU,Sterna trudeaui
Snowy Egret,SNEG,Egretta thula
Snowy Owl,SNOW,Bubo scandiacus
Snowy Plover,SNPL,Anarhynchus nivosus
Snowy-throated Kingbird,sntkin1,Tyrannus niveigularis
Snowy Tree Cricket,OECFUL,Oecanthus fultoni
Sociable Weaver,socwea1,Philetairus socius
Social Flycatcher,SOFL,Myiozetetes similis
Social tucu-tucu,CTESOC,Ctenomys sociabilis
Social Vole,MICSOC,Microtus socialis
Socorro Dove,SODO,Zenaida graysoni
Socorro Mockingbird,SOMO,Mimus graysoni
Socorro Parakeet,SOPA,Psittacara brevipes
Socorro Wren,SOCW,Troglodytes sissonii
Soemmerring's Gazelle,NANSOE,Nanger soemmerringii
Soft-plumaged Petrel,PTEMOL,Pterodroma mollis
Solitary Cacique,sobcac1,Cacicus solitarius
Solitary Eagle,SOEA,Buteogallus solitarius
Solitary Sandpiper,SOSA,Tringa solitaria
Solitary Snipe,SOSN,Gallinago solitaria
Solitary Tinamou,soltin1,Tinamus solitarius
Solitary Vireo (Blue-headed / Cassin's / Plumbeous),SOVI,Vireo solitarius / cassinii / plumbeus
Solomons Corella,duccoc1,Cacatua ducorpsii
Somali Short-toed Lark,ALASOM,Alaudala somalica
Sombre Greenbul,somgre1,Andropadus importunus
Sombre Hummingbird,EUPCIR,Eupetomena cirrochloris
Sombre Kingfisher,somkin1,Todiramphus funebris
Sombre Tit,somtit3,Poecile lugubris
Songbird,77,
Song Parrot,sinpar1,Geoffroyus heteroclitus
Song Sparrow,SOSP,Melospiza melodia
Song Thrush,SOTH,Turdus philomelos
Song Wren,SONW,Cyphorhinus phaeocephalus
Sonoma Chipmunk,NEOSON,Neotamias sonomae
Sonoma Tree Vole,ARBPOM,Arborimus pomo
Sonoran Desert Tortoise,GOPMOR,Gopherus morafkai
Sonoran Harvest Mouse,REIBUR,Reithrodontomys burti
Sonoran Lyresnake,TRILAM,Trimorphodon lambda
Sonoran Whipsnake,MASBIL,Masticophis bilineatus
Sonoran Woodrat,NEOPHE,Neotoma phenax
Sooretama Slaty Antshrike,soosla1,Thamnophilus ambiguus
Sooty Antbird,sooant1,Hafferia fortis
Sooty Ant Tanager,soatan1,Driophlox gutturalis
Sooty-capped Babbler,socbab1,Malacopteron affine
Sooty-capped Chlorospingus,SCCH,Chlorospingus pileatus
Sooty Chat,MYRNIG,Myrmecocichla nigra
Sooty-crowned Flycatcher,MYIPHA,Myiarchus phaeocephalus
Sooty-faced Finch,SFFI,Arremon crassirostris
Sooty-fronted Spinetail,sofspi1,Synallaxis frontalis
Sooty Grassquit,soogra2,Asemospiza fuliginosa
Sooty Grouse,SOGR,Dendragapus fuliginosus
Sooty-headed Bulbul,sohbul1,Pycnonotus aurigaster
Sooty-headed Tyrannulet,SHTY,Phyllomyias griseiceps
Sooty-headed Wren,SHWR,Pheugopedius spadix
Sooty Oystercatcher,soooys1,Haematopus fuliginosus
Sooty Shearwater,SOSH,Ardenna grisea
Sooty Tern,SOTE,Onychoprion fuscatus
Sooty Thicket Fantail,sotfan1,Rhipidura threnothorax
Sooty Thrush,SOOT,Turdus nigrescens
Sooty Tyrannulet,sootyr1,Serpophaga nigricans
Sora,SORA,Porzana carolina
Sorex Species,SORNUL,
Sotalia Species,SOTNUL,
Souimanga Sunbird,sousun2,Cinnyris sovimanga
Sousa Species,SOUNUL,
South African Cliff Swallow,soaswa2,Petrochelidon spilodera
South African Shelduck,soashe1,Tadorna cana
South American Coati,NS,Nasua Nasua
"Southamerican fox, red fox",LYCCUL,Lycalopex culpaeus
South American Fur Seal,ARCAUS,Arctocephalus australis
South American Gray Fox,LYCGRI,Lycalopex griseus
South American Snipe,GALPAR,Gallinago paraguaiae
South American Tern,soater1,Sterna hirundinacea
Southeastern Field Cricket,GRYRUB,Gryllus rubens
Southeastern Four-eyed Opossum,PHIFRE,Philander frenatus
Southeastern Myotis,MYOAUS,Myotis austroriparius
Southeastern Pocket Gopher,GEOPIN,Geomys pinetis
Southeastern Shrew,SORLON,Sorex longirostris
Southern Alligator Lizard,149,Elgaria multicarinata
Southern Amazon Red Squirrel,SCISPA,Sciurus spadiceus
Southern Antpipit,souant1,Corythopis delalandi
Southern Beardless-Tyrannulet,SOBT,Camptostoma obsoletum
Southern Bentbill,SOBE,Oncostoma olivaceum
Southern big-eared mouse,LOXMIC,Loxodontomys micropus
Southern Black-Flycatcher,MELPAM,Melaenornis pammelaina
Southern Black Tit,soublt1,Melaniparus niger
Southern Bottlenose Whale,HYPPLA,Hyperoodon planifrons
Southern Boubou,soubou1,Laniarius ferrugineus
Southern Bristle Tyrant,sobtyr2,Pogonotriccus eximius
Southern Brown-throated Weaver,sbtwea1,Ploceus xanthopterus
Southern Cassowary,soucas1,Casuarius casuarius
Southern Chestnut-breasted Wren,chbwre3,Cyphorhinus thoracicus
Southern Chestnut-tailed Antbird,chtant2,Sciaphylax hemimelaena
Southern Chorus Frog,PSENIG,Pseudacris nigrita
Southern Citril,soucit1,Crithagra hyposticta
Southern Climbing Mouse,RHIAUS,Rhipidomys austrinus
Southern Cotton Rat,SIGHIR,Sigmodon hirsutus
Southern Cricket Frog,ACRGRY,Acris gryllus
Southern Double-collared Sunbird,sdcsun3,Cinnyris chalybeus
Southern Elephant Seal,MIRLEO,Mirounga leonina
Southern Emu-wren,souemu1,Stipiturus malachurus
Southern Fiscal,soufis1,Lanius collaris
Southern Grasshopper Mouse,ONYTOR,Onychomys torridus
Southern Grey-headed Sparrow,sghspa2,Passer diffusus
Southern Grosbeak-Canary,CRIBUC,Crithagra buchanani
Southern Ground Hornbill,soghor1,Bucorvus leadbeateri
Southern Hill Myna,sohmyn1,Gracula indica
Southern House Wren,SHOW,Troglodytes musculus
Southern Idaho Ground Squirrel,UROEND,Urocitellus endemicus
Southern ked-Tailed Armadillo,CUNI,Cabassous unicintus
Southern Lapwing,SOLA,Vanellus chilensis
Southern Lechwe,KOBLEC,Kobus leche
Southern Long-Nosed Armadillo,DASHYB,Dasypus hybridus
Southern Martin,SOMA,Progne elegans
Southern Masked Weaver,afmwea,Ploceus velatus
Southern Pacific Rattlesnake,151,Crotalus oreganus
Southern pampas cat,LEOPAJ,Leopardus pajeros
Southern Plains Woodrat,NEOMIC,Neotoma micropus
Southern Pudu,PUDPUD,Pudu puda
Southern Pygmy Mouse,BAIMUS,Baiomys musculus
Southern Red-backed Vole,MYOGAP,Clethrionomys gapperi
Southern Red-billed Hornbill,srbhor1,Tockus rufirostris
Southern Red Bishop,redbis,Euplectes orix
Southern Red-fronted Tinkerbird,reftin4,Pogoniulus pusillus
Southern Red Muntjac,MUNMUN,Muntiacus muntjak
Southern Reedbuck,REDARU,Redunca arundinum
Southern Right Whale,EUBAUS,Eubalaena australis
Southern Right Whale Dolphin,LISPER,Lissodelphis peronii
Southern River Otter,LONPRO,Lontra provocax
Southern Rockhopper Penguin,EUDCHR,Eudyptes chrysocome
Southern Rough-winged Swallow,SRWS,Stelgidopteryx ruficollis
Southern Screamer,souscr1,Chauna torquata
Southern Scrub Flycatcher,sosfly1,Sublegatus modestus
Southern Scrub Robin,sosrob1,Drymodes brunneopygia
Southern Short-tailed Opossum,MONDIM,Monodelphis dimidiata
Southern Short-tailed Shrew,BLACAR,Blarina carolinensis
Southern Spiny Pocket Mouse,HETAUS,Heteromys australis
Southern Spotted Skunk,SPIANG,Spilogale angustifrons
Southern Tamandua,TTET,Tamandua tetradactyla
Southern Tchagra,soutch1,Tchagra tchagra
Southern Tiger Cat,LEOGUT,Leopardus guttulus
Southern Toad,ANATER,Anaxyrus terrestris
Southern Watersnake,NERFAS,Nerodia fasciata
Southern Whiteface,souwhi1,Aphelocephala leucopsis
Southern Wood Cricket,GRYFUL,Gryllus fultoni
Southern Yellow Bat,LASEGA,Dasypterus ega
Southern Yellow-billed Hornbill,sybhor1,Tockus leucomelas
Southern Yellow White-eye,afywhe4,Zosterops anderssoni
South Island Oystercatcher,HAEFIN,Haematopus finschi
South Island Robin,nezrob3,Petroica australis
South Polar Skua,SPSK,Stercorarius maccormicki
Southwestern Myotis,MYOAUR,Myotis auriculus
Southwestern Willow Flycatcher,SWFL,Empidonax traillii extimus
Sowbug Rice Rat,HYLONI,Hylaeamys oniscus
Sowerby's Beaked Whale,MESBID,Mesoplodon bidens
Spade-toothed Whale,MESTRA,Mesoplodon traversii
Spalacopus Species,3958,
Spangle-cheeked Tanager,SCHT,Tangara dowii
Spangled Drongo,spadro1,Dicrurus bracteatus
Spanish Imperial Eagle,spaeag1,Aquila adalberti
Spanish Sparrow,PASHIS,Passer hispaniolensis
Sparkling-tailed Hummingbird,SKTH,Tilmatura dupontii
Sparkling Violetear,spvear1,Colibri coruscans
Speckle-breasted Antpitta,CRYNAT,Cryptopezus nattereri
Speckle-breasted Wren,spbwre2,Pheugopedius sclateri
Speckled Chacalaca,OGUT,Ortalis guttata
Speckled Hummingbird,spehum1,Adelomyia melanogenys
Speckled Mourner,SPMO,Laniocera rufescens
Speckled Mousebird,spemou2,Colius striatus
Speckled Nightingale-Thrush,sponit2,Catharus maculatus
Speckled Piculet,spepic1,Picumnus innominatus
Speckled Pigeon,spepig1,Columba guinea
Speckled Rattlesnake,CROMIT,Crotalus mitchellii
Speckled Spinetail,spespi1,Thripophaga gutturata
Speckled Tanager,SPTA,Tangara guttata
Speckled Tinkerbird,spetin1,Pogoniulus scolopaceus
Speckled Warbler,spewar3,Pyrrholaemus sagittatus
Speckle-fronted Weaver,spfwea1,Sporopipes frontalis
Spectacled Barwing,spebar1,Actinodura ramsayi
Spectacled Bear,TORN,Tremarctos ortus
Spectacled Bulbul,spebul1,Rubigula erythropthalmos
Spectacled Caiman,CAICRO,Caiman crocodilus
Spectacled Duck,SPESPE,Speculanas specularis
Spectacled Eider,SPEI,Somateria fischeri
Spectacled Finch,spefin1,Callacanthis burtoni
Spectacled Fulvetta,FULRUF,Fulvetta ruficapilla
Spectacled Imperial Pigeon,wheimp2,Ducula perspicillata
Spectacled Monarch,spemon,Symposiachrus trivirgatus
Spectacled Owl,SPEO,Pulsatrix perspicillata
Spectacled Parrotlet,SPPA,Forpus conspicillatus
Spectacled Porpoise,PHODIO,Phocoena dioptrica
Spectacled Slender Opossum,MAROCE,Marmosops ocellatus
Spectacled Spiderhunter,spespi2,Arachnothera flavigaster
Spectacled Tetraka,spetet1,Xanthomixis zosterops
Spectacled Thrush,SPTH,Turdus nudigenis
Spectacled Tyrant,HYMPER,Hymenops perspicillatus
Spectacled Warbler,CURCON,Curruca conspicillata
Spectacled Weaver,spewea1,Ploceus ocularis
Spectacled Whitestart,spered1,Myioborus melanocephalus
Speke's Gazelle,GAZSPE,Gazella spekei
Speke's Weaver,spewea2,Ploceus spekei
Speothos Species,SPENUL,
Spike-heeled Lark,CHEALB,Chersomanes albofasciata
Spillmann's Tapaculo,spitap2,Scytalopus spillmanni
Spilogale Species,SPINUL,
Spinner Dolphin,STELON,Stenella longirostris
Spiny-cheeked Honeyeater,spchon1,Acanthagenys rufogularis
Spiny-faced Antshrike,SFAN,Xenornis setifrons
Spiny Lizard,SCENUL,
Spiny Pocket Mouse,CHASPI,Chaetodipus spinatus
Spix's Guan,PJAC,Penelope jacquacu
Spix's Spinetail,spispi1,Synallaxis spixi
Spix's Warbling Antbird,spiwaa1,Hypocnemis striata
Spix's Woodcreeper,spiwoo1,Xiphorhynchus spixii
Splendid Climbing Mouse,RHINIT,Rhipidomys nitela
Splendid Fairywren,splfai1,Malurus splendens
Splendid Starling,spgsta1,Lamprotornis splendidus
Splendid Sunbird,splsun2,Cinnyris coccinigastrus
Spoon-billed Sandpiper,SBSA,Calidris pygmea
Spot-backed Antbird,spbant6,Hylophylax naevius
Spot-backed Antshrike,spbant3,Hypoedaleus guttatus
Spot-backed Antwren,spbant4,Herpsilochmus dorsimaculatus
Spot-backed Puffbird,spbpuf1,Nystalus maculatus
Spot-bellied Bobwhite,SBBO,Colinus leucopogon
Spot-bellied Eagle-Owl,sbeowl1,Ketupa nipalensis
Spot-billed Ground-Tyrant,MUSMAL,Muscisaxicola maculirostris
Spot-billed Toucanet,spbtou1,Selenidera maculirostris
Spot-breasted Antvireo,spbant5,Dysithamnus stictothorax
Spot-breasted Cuckoo-Dove,macdov1,Macropygia mackinlayi
Spot-breasted Lapwing,spblap1,Vanellus melanocephalus
Spot-breasted Oriole,SBOR,Icterus pectoralis
Spot-breasted Parrotbill,spbpar1,Paradoxornis guttaticollis
Spot-breasted Scimitar-Babbler,ERYMCC,Erythrogenys mcclellandi
Spot-breasted Thornbird,spbtho1,Phacellodomus maculipectus
Spot-breasted Woodpecker,SBWP,Colaptes punctigula
Spot-breasted Wren,SBSW,Pheugopedius maculipectus
Spot-crowned Antvireo,SPCA,Dysithamnus puncticeps
Spot-crowned Barbet,SCBA,Capito maculicoronatus
Spot-crowned Euphonia,SPCE,Euphonia imitans
Spot-crowned Woodcreeper,SCRW,Lepidocolaptes affinis
Spot-flanked Barbet,TRILAC,Tricholaema lacrymosa
Spot-flanked Gallinule,PORMEL,Porphyriops melanops
Spot-fronted Swift,SFSW,Cypseloides cherriei
Spotless Crake,spocra2,Zapornia tabuensis
Spotless Starling,STUUNI,Sturnus unicolor
Spot-necked Babbler,spnbab1,Stachyris strialata
Spot-tailed Antwren,sptant1,Herpsilochmus sticturus
Spot-tailed Nightjar,SPTN,Hydropsalis maculicaudus
Spot-tailed Sparrowhawk,sptgos1,Tachyspiza trinotata
Spotted Antbird,SPAN,Hylophylax naevioides
Spotted Antpitta,spoant6,Hylopezus macularius
Spotted Bamboowren,spobam1,Psilorhamphus guttatus
Spotted Barbtail,SPBA,Premnoplex brunnescens
Spotted Bat,EUDMAC,Euderma maculatum
Spotted Bowerbird,spobow1,Chlamydera maculata
Spotted Bush Warbler,spobuw3,Locustella thoracica
Spotted Catbird,spocat2,Ailuroedus maculosus
Spotted Chorus Frog,PSECLA,Pseudacris clarkii
Spotted Crake,SPCR,Porzana porzana
Spotted Dove,SPDO,Streptopelia chinensis
Spotted Eagle-Owl,spoeao2,Bubo africanus
Spotted Elachura,spwbab1,Elachura formosa
Spotted Fantail,spofan1,Rhipidura perlata
Spotted Flycatcher,SPFL,Muscicapa striata
Spotted Forktail,spofor1,Enicurus maculatus
Spotted Greenbul,spogre1,Ixonotus guttatus
Spotted Ground Squirrel,XERSPI,Xerospermophilus spilosoma
Spotted Ground-Thrush,GEOGUT,Geokichla guttata
Spotted Jewel-babbler,spjbab1,Ptilorrhoa leucosticta
Spotted Laughingthrush,spolau1,Ianthocincla ocellata
Spotted Nightingale-Thrush,SPNT,Catharus dryas
Spotted Nightjar,EURARG,Eurostopodus argus
Spotted Nothura,sponot1,Nothura maculosa
Spotted Owl,SPOW,Strix occidentalis
Spotted Owlet,spoowl1,Athene brama
Spotted Paca,CUNPAC,Cuniculus paca
Spotted Palm Thrush,spmthr1,Cichladusa guttata
Spotted Pardalote,spopar1,Pardalotus punctatus
Spotted Piculet,spopic1,Picumnus pygmaeus
Spotted Puffbird,spopuf1,Bucco tamatia
Spotted Quail-thrush,spqthr1,Cinclosoma punctatum
Spotted Rail,SPRA,Pardirallus maculatus
Spotted Redshank,SPRE,Tringa erythropus
Spotted Salamander,AMBMAC,Ambystoma maculatum
Spotted Sandgrouse,sposan1,Pterocles senegallus
Spotted Sandpiper,SPSA,Actitis macularius
Spotted Seal,PHOLAR,Phoca largha
Spotted Tanager,spotan1,Ixothraupis punctata
Spotted Thick-knee,sptkne1,Burhinus capensis
Spotted Tody-Flycatcher,sptfly1,Todirostrum maculatum
Spotted Towhee,SPTO,Pipilo maculatus
Spotted Woodcreeper,SPWO,Xiphorhynchus erythropygius
Spotted Wood Kingfisher,spokin1,Actenoides lindsayi
Spotted Wood Owl,spwowl1,Strix seloputo
Spotted Wood-Quail,SPWQ,Odontophorus guttatus
Spotted Wren,SPWR,Campylorhynchus gularis
Spot-throat,spothr1,Modulatrix stictigula
Spot-throated Babbler,sptbab1,Pellorneum albiventre
Spot-throated Woodcreeper,sptwoo1,Certhiasomus stictolaemus
Spot-winged Antbird,spwant3,Myrmelastes leucostigma
Spot-winged Antshrike,spwant2,Pygiptila stellaris
Spot-winged Falconet,spwfal2,Spiziapteryx circumcincta
Spot-winged Parrotlet,spwpar2,Touit stictopterus
Spot-winged Pigeon,PATMAC,Patagioenas maculosa
Spot-winged Thrush,spwthr1,Geokichla spiloptera
Spot-winged Wood Quail,swwqua1,Odontophorus capueira
Sprague's Pipit,SPPI,Anthus spragueii
Springbok,ANTMAR,Antidorcas marsupialis
Spring peeper,SPPE,Pseudacris crucifer
Spruce Grouse,SPGR,Canachites canadensis
Spur-winged Lapwing,spwlap1,Vanellus spinosus
Squacco Heron,ARDRAL,Ardeola ralloides
Squamate Antbird,squant1,Myrmoderus squamosus
Square-tailed Bulbul,sqtbul1,Hypsipetes ganeesa
Square-tailed Drongo,cstdro1,Dicrurus ludwigii
Square-tailed Drongo-Cuckoo,asidrc3,Surniculus lugubris
Square-tailed Nightjar,sqtnig1,Caprimulgus fossii
Squirrel Cuckoo,SQCU,Piaya cayana
"Squirrels, marmots, chipmunks",Sql/Mmt/Cp,
Squirrel Treefrog,DRYSQU,Dryophytes squirellus
Sri Lanka Bay Owl,srlbao1,Phodilus assimilis
Sri Lanka Blue-Magpie,UROORN,Urocissa ornata
Sri Lanka Frogmouth,ceyfro1,Batrachostomus moniliger
Sri Lanka Grey Hornbill,ceghor1,Ocyceros gingalensis
Sri Lanka Hanging-Parrot,LORBER,Loriculus beryllinus
Sri Lanka Hill Myna,ceymyn1,Gracula ptilogenys
Sri Lanka Junglefowl,ceyjun1,Gallus lafayettii
Sri Lanka Scimitar Babbler,srlscb1,Pomatorhinus melanurus
Sri Lanka Spurfowl,ceyspu1,Galloperdix bicalcarata
Sri Lanka White-eye,ZOSCEY,Zosterops ceylonensis
STAFF/SETUP,17,
Standardwing,walsta2,Semioptera wallacii
Star-nosed Mole,CONCRI,Condylura cristata
Starred Agama,STESTE,Stellagama stellio
Starred Wood-quail,OSTE,Odontophorus stellatus
Star-throated Antwren,sttant1,Rhopias gularis
Steel-blue Flycatcher,stbfly1,Myiagra ferrocyanea
Steely-vented Hummingbird,SVHU,Amazilia saucerottei
Steenbok,RAPCAM,Raphicerus campestris
Steere's Spiny Rat,PROSTE,Proechimys steerei
Stejneger's Beaked Whale,MESSTE,Mesoplodon stejnegeri
Stejneger's Petrel,STPE,Pterodroma longirostris
Stejneger's Scoter,STSC,Melanitta stejnegeri
Steller Sea Lion,EUMJUB,Eumetopias jubatus
Steller's Eider,STEI,Polysticta stelleri
Steller's Jay,STJA,Cyanocitta stelleri
Steller's Sea-Eagle,STSE,Haliaeetus pelagicus
Stenella Species,4367,
Steno Species,4369,
Stephan's Emerald Dove,stedov1,Chalcophaps stephani
Stephens' Kangaroo Rat,DIPSTE,Dipodomys stephensi
Stephen's Woodrat,NEOSTE,Neotoma stephensi
Steppe Eagle,STEA,Aquila nipalensis
Stierling's Wren-Warbler,miowrw3,Calamonastes stierlingi
Stiles's Tapaculo,stitap1,Scytalopus stilesi
Stilt Sandpiper,STSA,Calidris himantopus
Stirton's Deer Mouse,PERSTI,Peromyscus stirtoni
Stitchbird,stitch1,Notiomystis cincta
St. Lucia Black Finch,SLBF,Melanospiza richardsoni
St. Lucia Oriole,SLOR,Icterus laudabilis
St. Lucia Parrot,SLPA,Amazona versicolor
St. Lucia Warbler,SLWA,Setophaga delicata
St. Lucia Wren,SLWR,Troglodytes mesoleucus
Stock Dove,COLOEN,Columba oenas
Stolid Flycatcher,STOF,Myiarchus stolidus
Stonechat,STON,Saxicola torquatus
Stone Partridge,stopar1,Ptilopachus petrosus
Stork-billed Kingfisher,stbkin1,Pelargopsis capensis
Stout-billed Cinclodes,stbcin1,Cinclodes excelsior
Stout Cisticola,CISROB,Cisticola robustus
Straight-billed Earthcreeper,OCHRUF,Ochetorhynchus ruficaudus
Straight-billed Hermit,stbher1,Phaethornis bourcieri
Straight-billed Reedhaunter,stbree2,Limnoctites rectirostris
Straight-billed Woodcreeper,SGBW,Dendroplex picus
Straneck's Tyrannulet,gyctyr2,Serpophaga griseicapilla
Strap-toothed Whale,MESLAY,Mesoplodon layardii
Straw-headed Bulbul,sthbul1,Pycnonotus zeylanicus
Straw-tailed Whydah,VIDFIS,Vidua fischeri
Streak-backed Canastero,stbcan9,Asthenes wyatti
Streak-backed Oriole,SBAO,Icterus pustulatus
Streak-breasted Scimitar Babbler,sbsbab3,Pomatorhinus ruficollis
Streak-breasted Treehunter,SBTR,Thripadectes rufobrunneus
Streak-capped Antwren,stcant3,Terenura maculata
Streak-capped Spinetail,stcspi1,Cranioleuca hellmayri
Streak-capped Treehunter,stctre1,Thripadectes virgaticeps
Streak-chested Antpitta,SCHA,Hylopezus perspicillatus
Streak-crowned Antvireo,STCA,Dysithamnus striaticeps
Streak-eared Bulbul,stebul2,Pycnonotus conradi
Streaked Bulbul,strbul1,Ixos malaccensis
Streaked Flycatcher,STRF,Myiodynastes maculatus
Streaked Horned Lark,SHLA,Eremophila alpestris strigata
Streaked Laughingthrush,strlau1,Trochalopteron lineatum
Streaked Rosefinch,strros1,Carpodacus rubicilloides
Streaked Saltator,SSAL,Saltator striatipectus
Streaked Scrub Warbler,stswar1,Scotocerca inquieta
Streaked Shearwater,STRS,Calonectris leucomelas
Streaked Spiderhunter,strspi1,Arachnothera magna
Streaked Tit-Spinetail,LEPSTR,Leptasthenura striata
Streaked Tuftedcheek,strtuf1,Pseudocolaptes boissonneautii
Streaked Weaver,strwea2,Ploceus manyar
Streaked Wren-Babbler,GYPBRE,Gypsophila brevicaudata
Streaked Xenops,STXE,Xenops rutilans
Streak-fronted Thornbird,stftho1,Phacellodomus striaticeps
Streak-headed Antbird,sthant1,Drymophila striaticeps
Streak-headed Woodcreeper,SHWO,Lepidocolaptes souleyetii
Streak-necked Flycatcher,stnfly1,Mionectes striaticollis
Streak-throated Barwing,sttbar1,Actinodura waldeni
Streak-throated Bush Tyrant,stbtyr1,Myiotheretes striaticollis
Streak-throated Canastero,ASTHUM,Asthenes humilis
Streak-throated Hermit,PHARUP,Phaethornis rupurumii
Streak-throated Swallow,sttswa2,Petrochelidon fluvicola
Streak-throated Woodpecker,sttwoo1,Picus xanthopygaeus
Streaky-headed Seedeater,sthsee2,Crithagra gularis
Streaky Seedeater,strsee1,Crithagra striolata
Streamertail,STRM,Trochilus polytmus
Streamer-tailed Tyrant,stttyr2,Gubernetes yetapa
Strecker's Chorus Frog,PSESTR,Pseudacris streckeri
Stresemann's Bushcrow,stbcro1,Zavattariornis stresemanni
Striated Antbird,strant2,Drymophila devillei
Striated Antthrush,strant3,Chamaeza nobilis
Striated Babbler,ARGEAR,Argya earlei
Striated Bulbul,strbul2,Alcurus striatus
Striated Earthcreeper,strear1,Geocerthia serrana
Striated Fieldwren,strfie1,Calamanthus fuliginosus
Striated Grassbird,strgra1,Megalurus palustris
Striated Heron,STRH,Butorides striata
Striated Laughingthrush,strlau2,Grammatoptila striata
Striated Pardalote,strpar1,Pardalotus striatus
Striated Softtail,strsof1,Thripophaga macroura
Striated Thornbill,strtho1,Acanthiza lineata
Striated Wren-Babbler,stwbab2,Ptilocichla mindanensis
Strickland's Woodpecker,STCW,Picoides stricklandi
Striolated Bunting,houbun2,Emberiza striolata
Striolated Manakin,strman5,Machaeropterus striolatus
Striolated Tit-Spinetail,sttspi2,Leptasthenura striolata
Stripe-backed Antbird,stbant2,Myrmorchilus strigilatus
Stripe-backed Bittern,stbbit1,Botaurus involucris
Stripe-backed Shrew,SORCYL,Sorex cylindricauda
Stripe-backed Wren,stbwre2,Campylorhynchus nuchalis
Stripe-breasted Spinetail,stbspi1,Synallaxis cinnamomea
Stripe-breasted Wren,SIBW,Cantorchilus thoracicus
Stripe-cheeked Greenbul,ARIMIL,Arizelocichla milanjensis
Stripe-cheeked Woodpecker,SCHW,Piculus callopterus
